year,month,date,weekday,hour,minute,gym,swim
2018,12,9,7,1,7,10,0
2018,12,9,7,1,8,10,0
2018,12,9,7,1,9,10,0
2018,12,9,7,1,10,10,0
2018,12,9,7,1,11,10,0
2018,12,9,7,1,12,10,0
2018,12,9,7,1,13,10,0
2018,12,9,7,1,14,10,0
2018,12,9,7,1,15,10,0
2018,12,9,7,1,16,10,0
2018,12,9,7,1,17,10,0
2018,12,9,7,1,18,10,0
2018,12,9,7,1,19,10,0
2018,12,9,7,1,20,10,0
2018,12,9,7,1,21,10,0
2018,12,9,7,1,22,10,0
2018,12,9,7,1,23,10,0
2018,12,9,7,1,24,10,0
2018,12,9,7,1,25,10,0
2018,12,9,7,1,26,10,0
2018,12,9,7,1,27,10,0
2018,12,9,7,1,28,10,0
2018,12,9,7,1,29,10,0
2018,12,9,7,1,30,10,0
2018,12,9,7,1,31,10,0
2018,12,9,7,1,32,10,0
2018,12,9,7,1,33,10,0
2018,12,9,7,1,34,10,0
2018,12,9,7,1,35,10,0
2018,12,9,7,1,36,10,0
2018,12,9,7,1,37,10,0
2018,12,9,7,1,38,10,0
2018,12,9,7,1,39,10,0
2018,12,9,7,1,41,10,0
2018,12,9,7,1,42,10,0
2018,12,9,7,1,43,10,0
2018,12,9,7,1,44,10,0
2018,12,9,7,1,45,10,0
2018,12,9,7,1,46,10,0
2018,12,9,7,1,47,10,0
2018,12,9,7,1,48,10,0
2018,12,9,7,1,49,10,0
2018,12,9,7,1,50,10,0
2018,12,9,7,1,51,10,0
2018,12,9,7,1,52,10,0
2018,12,9,7,1,53,10,0
2018,12,9,7,1,54,10,0
2018,12,9,7,1,55,10,0
2018,12,9,7,1,56,10,0
2018,12,9,7,1,57,10,0
2018,12,9,7,1,58,10,0
2018,12,9,7,1,59,10,0
2018,12,9,7,2,0,10,0
2018,12,9,7,2,1,10,0
2018,12,9,7,2,2,10,0
2018,12,9,7,2,3,10,0
2018,12,9,7,2,4,10,0
2018,12,9,7,2,5,10,0
2018,12,9,7,2,6,10,0
2018,12,9,7,2,7,10,0
2018,12,9,7,2,8,10,0
2018,12,9,7,2,9,10,0
2018,12,9,7,2,10,10,0
