year,month,date,weekday,hour,minute,gym,swim
2018,12,12,3,1,1,0,28
2018,12,12,3,1,2,0,28
2018,12,12,3,1,3,0,28
2018,12,12,3,1,4,0,28
2018,12,12,3,1,5,0,28
2018,12,12,3,1,6,0,28
2018,12,12,3,1,7,0,28
2018,12,12,3,1,8,0,28
2018,12,12,3,1,9,0,28
2018,12,12,3,1,10,0,28
2018,12,12,3,1,11,0,28
2018,12,12,3,1,12,0,28
2018,12,12,3,1,13,0,28
2018,12,12,3,1,14,0,28
2018,12,12,3,1,15,0,28
2018,12,12,3,1,16,0,28
2018,12,12,3,1,17,0,28
2018,12,12,3,1,18,0,28
2018,12,12,3,1,19,0,28
2018,12,12,3,1,20,0,28
2018,12,12,3,1,21,0,28
2018,12,12,3,1,22,0,28
2018,12,12,3,1,23,0,28
2018,12,12,3,1,24,0,28
2018,12,12,3,1,25,0,28
2018,12,12,3,1,26,0,28
2018,12,12,3,1,27,0,28
2018,12,12,3,1,28,0,28
2018,12,12,3,1,29,0,28
2018,12,12,3,1,30,0,28
2018,12,12,3,1,31,0,28
2018,12,12,3,1,32,0,28
2018,12,12,3,1,33,0,28
2018,12,12,3,1,34,0,28
2018,12,12,3,1,35,0,28
2018,12,12,3,1,36,0,28
2018,12,12,3,1,37,0,28
2018,12,12,3,1,38,0,28
2018,12,12,3,1,39,0,28
2018,12,12,3,1,40,0,28
2018,12,12,3,1,41,0,28
2018,12,12,3,1,42,0,28
2018,12,12,3,1,43,0,28
2018,12,12,3,1,44,0,28
2018,12,12,3,1,45,0,28
2018,12,12,3,1,46,0,28
2018,12,12,3,1,47,0,28
2018,12,12,3,1,48,0,28
2018,12,12,3,1,49,0,28
2018,12,12,3,1,50,0,28
2018,12,12,3,1,51,0,28
2018,12,12,3,1,53,0,28
2018,12,12,3,1,54,0,28
2018,12,12,3,1,55,0,28
2018,12,12,3,1,56,0,28
2018,12,12,3,1,57,0,28
2018,12,12,3,1,58,0,28
2018,12,12,3,1,59,0,28
2018,12,12,3,2,0,0,28
2018,12,12,3,2,1,0,28
2018,12,12,3,2,2,0,28
2018,12,12,3,2,3,0,28
2018,12,12,3,2,4,0,28
2018,12,12,3,2,5,0,28
2018,12,12,3,2,6,0,28
2018,12,12,3,2,7,0,28
2018,12,12,3,2,8,0,28
2018,12,12,3,2,9,0,28
2018,12,12,3,2,10,0,28
2018,12,12,3,2,11,0,28
2018,12,12,3,2,12,0,28
2018,12,12,3,2,13,0,28
2018,12,12,3,2,14,0,28
2018,12,12,3,2,15,0,0
2018,12,12,3,2,16,0,0
2018,12,12,3,2,17,0,0
2018,12,12,3,2,18,0,0
2018,12,12,3,2,19,0,0
2018,12,12,3,2,20,0,0
2018,12,12,3,2,21,0,0
2018,12,12,3,2,22,0,0
2018,12,12,3,2,23,0,0
2018,12,12,3,2,24,0,0
2018,12,12,3,2,25,0,0
2018,12,12,3,2,26,0,0
2018,12,12,3,2,27,0,0
2018,12,12,3,2,28,0,0
2018,12,12,3,2,29,0,0
2018,12,12,3,2,30,0,0
2018,12,12,3,2,31,0,0
2018,12,12,3,2,32,0,0
